"Calendar year","6-monthly","Cause of injury = traffic","First Nations status","Category Type","Category Value","Hospitalisations","Bed days excluding died in hospitals within 30 days"
2011,"Jan-Jun","Traffic","First Nations people","Road user","Pedestrian",127,"772"
2011,"Jan-Jun","Traffic","First Nations people","Road user","Heavy transport driver, passenger or unknown position",109,"789"
2011,"Jan-Jun","Traffic","First Nations people","Road user","Pick-up truck or van occupant",13,"198"
2011,"Jan-Jun","Traffic","Non-Indigenous","Road user","Other or unknown",305,"917"
2011,"Jan-Jun","Traffic","Non-Indigenous","Road user","Car driver, passenger or unknown position",1173,"4045"
2011,"Jan-Jun","Traffic","Non-Indigenous","Road user","Motorcyclist",3674,"14573"
2011,"Jan-Jun","Traffic","Non-Indigenous","Road user","Pedal cyclist",3762,"15729"
2011,"Jan-Jun","Traffic","Non-Indigenous","Road user","Pedestrian",4930,"23094"
2011,"Jan-Jun","Traffic","Non-Indigenous","Road user","Heavy transport driver, passenger or unknown position",1800,"14169"
2011,"Jul-Dec","Traffic","First Nations people","Road user","Pick-up truck or van occupant",46,"107"
2011,"Jul-Dec","Traffic","First Nations people","Road user","Bus occupant",113,"561"
2011,"Jul-Dec","Traffic","First Nations people","Road user","Other or unknown",162,"898"
2011,"Jul-Dec","Traffic","First Nations people","Road user","Car driver, passenger or unknown position",159,"861"
2011,"Jul-Dec","Traffic","First Nations people","Road user","Motorcyclist",117,"453"
2011,"Jul-Dec","Traffic","First Nations people","Road user","Pedal cyclist",11,"60"
2011,"Jul-Dec","Traffic","Non-Indigenous","Road user","Pedestrian",309,"989"
2011,"Jul-Dec","Traffic","Non-Indigenous","Road user","Heavy transport driver, passenger or unknown position",1104,"3399"
2011,"Jul-Dec","Traffic","Non-Indigenous","Road user","Pick-up truck or van occupant",3872,"13609"
2011,"Jul-Dec","Traffic","Non-Indigenous","Road user","Bus occupant",3897,"15443"
2011,"Jul-Dec","Traffic","Non-Indigenous","Road user","Other or unknown",5236,"24985"
2011,"Jul-Dec","Traffic","Non-Indigenous","Road user","Car driver, passenger or unknown position",1935,"12994"
2012,"Jan-Jun","Traffic","First Nations people","Road user","Motorcyclist",35,"153"
2012,"Jan-Jun","Traffic","First Nations people","Road user","Pedal cyclist",114,"514"
2012,"Jan-Jun","Traffic","First Nations people","Road user","Pedestrian",165,"1092"
2012,"Jan-Jun","Traffic","First Nations people","Road user","Heavy transport driver, passenger or unknown position",181,"890"
2012,"Jan-Jun","Traffic","First Nations people","Road user","Pick-up truck or van occupant",144,"820"
2012,"Jan-Jun","Traffic","First Nations people","Road user","Bus occupant",9,"129"
2012,"Jan-Jun","Traffic","Non-Indigenous","Road user","Other or unknown",324,"1103"
2012,"Jan-Jun","Traffic","Non-Indigenous","Road user","Car driver, passenger or unknown position",1039,"3128"
2012,"Jan-Jun","Traffic","Non-Indigenous","Road user","Motorcyclist",3821,"13369"
2012,"Jan-Jun","Traffic","Non-Indigenous","Road user","Pedal cyclist",3908,"14949"
2012,"Jan-Jun","Traffic","Non-Indigenous","Road user","Pedestrian",5086,"23176"
2012,"Jan-Jun","Traffic","Non-Indigenous","Road user","Heavy transport driver, passenger or unknown position",1919,"13197"
2012,"Jul-Dec","Traffic","First Nations people","Road user","Pick-up truck or van occupant",46,"137"
2012,"Jul-Dec","Traffic","First Nations people","Road user","Bus occupant",115,"259"
2012,"Jul-Dec","Traffic","First Nations people","Road user","Other or unknown",220,"1175"
2012,"Jul-Dec","Traffic","First Nations people","Road user","Car driver, passenger or unknown position",191,"1064"
2012,"Jul-Dec","Traffic","First Nations people","Road user","Motorcyclist",171,"949"
2012,"Jul-Dec","Traffic","First Nations people","Road user","Pedal cyclist",13,"40"
2012,"Jul-Dec","Traffic","Non-Indigenous","Road user","Pedestrian",329,"1337"
2012,"Jul-Dec","Traffic","Non-Indigenous","Road user","Heavy transport driver, passenger or unknown position",1026,"3787"
2012,"Jul-Dec","Traffic","Non-Indigenous","Road user","Pick-up truck or van occupant",3638,"13314"
2012,"Jul-Dec","Traffic","Non-Indigenous","Road user","Bus occupant",3762,"15049"
2012,"Jul-Dec","Traffic","Non-Indigenous","Road user","Other or unknown",4995,"24018"
2012,"Jul-Dec","Traffic","Non-Indigenous","Road user","Car driver, passenger or unknown position",1943,"14179"
2013,"Jan-Jun","Traffic","First Nations people","Road user","Motorcyclist",38,"139"
2013,"Jan-Jun","Traffic","First Nations people","Road user","Pedal cyclist",122,"395"
2013,"Jan-Jun","Traffic","First Nations people","Road user","Pedestrian",223,"1278"
2013,"Jan-Jun","Traffic","First Nations people","Road user","Heavy transport driver, passenger or unknown position",173,"1015"
2013,"Jan-Jun","Traffic","First Nations people","Road user","Pick-up truck or van occupant",118,"813"
2013,"Jan-Jun","Traffic","First Nations people","Road user","Bus occupant",9,"23"
2013,"Jan-Jun","Traffic","Non-Indigenous","Road user","Other or unknown",296,"745"
2013,"Jan-Jun","Traffic","Non-Indigenous","Road user","Car driver, passenger or unknown position",1008,"2865"
2013,"Jan-Jun","Traffic","Non-Indigenous","Road user","Motorcyclist",3544,"12586"
2013,"Jan-Jun","Traffic","Non-Indigenous","Road user","Pedal cyclist",3874,"14041"
2013,"Jan-Jun","Traffic","Non-Indigenous","Road user","Pedestrian",5275,"22414"
2013,"Jan-Jun","Traffic","Non-Indigenous","Road user","Heavy transport driver, passenger or unknown position",2020,"13778"
2013,"Jul-Dec","Traffic","First Nations people","Road user","Pick-up truck or van occupant",40,"169"
2013,"Jul-Dec","Traffic","First Nations people","Road user","Bus occupant",120,"764"
2013,"Jul-Dec","Traffic","First Nations people","Road user","Other or unknown",199,"875"
2013,"Jul-Dec","Traffic","First Nations people","Road user","Car driver, passenger or unknown position",193,"1033"
2013,"Jul-Dec","Traffic","First Nations people","Road user","Motorcyclist",161,"996"
2013,"Jul-Dec","Traffic","First Nations people","Road user","Pedal cyclist",18,"72"
2013,"Jul-Dec","Traffic","Non-Indigenous","Road user","Pedestrian",351,"857"
2013,"Jul-Dec","Traffic","Non-Indigenous","Road user","Heavy transport driver, passenger or unknown position",1103,"2981"
2013,"Jul-Dec","Traffic","Non-Indigenous","Road user","Pick-up truck or van occupant",3707,"12319"
2013,"Jul-Dec","Traffic","Non-Indigenous","Road user","Bus occupant",4055,"13631"
2013,"Jul-Dec","Traffic","Non-Indigenous","Road user","Other or unknown",5545,"24337"
2013,"Jul-Dec","Traffic","Non-Indigenous","Road user","Car driver, passenger or unknown position",2061,"13923"
2014,"Jan-Jun","Traffic","First Nations people","Road user","Motorcyclist",49,"144"
2014,"Jan-Jun","Traffic","First Nations people","Road user","Pedal cyclist",112,"545"
2014,"Jan-Jun","Traffic","First Nations people","Road user","Pedestrian",204,"807"
