Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Category Type,Category Value,Hospitalisations,Bed days excluding died in hospitals within 30 days
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,Other or unknown,324,1426
2012,Jan-Jun,Traffic,First Nations people,Road user,"Car driver, passenger or unknown position",356,1837
2012,Jan-Jun,Traffic,First Nations people,Road user,Motorcyclist,84,475
2012,Jan-Jun,Traffic,First Nations people,Road user,Pedal cyclist,78,190
2012,Jan-Jun,Traffic,First Nations people,Road user,Pedestrian,114,1013
2012,Jan-Jun,Traffic,First Nations people,Road user,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2012,Jan-Jun,Traffic,First Nations people,Road user,Pick-up truck or van occupant,n.p.,n.p.
2012,Jan-Jun,Traffic,First Nations people,Road user,Bus occupant,n.p.,n.p.
2012,Jan-Jun,Traffic,First Nations people,Road user,Other or unknown,8,48
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,"Car driver, passenger or unknown position",7806,33029
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,Motorcyclist,3664,17404
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,Pedal cyclist,2747,7104
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,Pedestrian,1206,8081
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,Pick-up truck or van occupant,n.p.,n.p.
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,Bus occupant,n.p.,n.p.
2012,Jan-Jun,Traffic,Non-Indigenous,Road user,Other or unknown,231,1105
2012,Jul-Dec,Traffic,First Nations people,Road user,"Car driver, passenger or unknown position",402,1938
2012,Jul-Dec,Traffic,First Nations people,Road user,Motorcyclist,134,555
2012,Jul-Dec,Traffic,First Nations people,Road user,Pedal cyclist,74,171
2012,Jul-Dec,Traffic,First Nations people,Road user,Pedestrian,105,847
2012,Jul-Dec,Traffic,First Nations people,Road user,"Heavy transport driver, passenger or unknown position",5,37
2012,Jul-Dec,Traffic,First Nations people,Road user,Pick-up truck or van occupant,9,32
2012,Jul-Dec,Traffic,First Nations people,Road user,Bus occupant,5,9
2012,Jul-Dec,Traffic,First Nations people,Road user,Other or unknown,22,35
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,"Car driver, passenger or unknown position",7444,33385
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,Motorcyclist,3684,18180
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,Pedal cyclist,2632,8000
